| SPUTTER TIME | O | Ga | C | Si |
|---|---|---|---|---|
| 0 | 50 | 30 | 0 | 0 |
| 10 | 48 | 28 | 0 | 0 |
| 20 | 46 | 26 | 0 | 0 |
| 30 | 44 | 24 | 0 | 0 |
| 40 | 42 | 22 | 0 | 0 |
| 50 | 40 | 20 | 0 | 0 |
| 60 | 38 | 18 | 0 | 0 |
| 70 | 36 | 16 | 0 | 0 |
| 80 | 34 | 14 | 0 | 0 |
| 90 | 32 | 12 | 0 | 0 |
| 100 | 30 | 10 | 0 | 0 |
| 110 | 28 | 8 | 0 | 0 |
| 120 | 26 | 6 | 0 | 0 |
| 130 | 24 | 4 | 0 | 0 |
| 140 | 22 | 2 | 0 | 0 |
| 150 | 20 | 0 | 0 | 0 |
| 160 | 18 | 0 | 0 | 0 |
| 170 | 16 | 0 | 0 | 0 |
| 180 | 14 | 0 | 0 | 0 |
| 190 | 12 | 0 | 0 | 0 |
| 200 | 10 | 0 | 0 | 0 |
| 210 | 8 | 0 | 0 | 0 |
| 220 | 6 | 0 | 0 | 0 |
| 230 | 4 | 0 | 0 | 0 |
| 240 | 2 | 0 | 0 | 0 |
| 250 | 0 | 0 | 0 | 0 |
| 260 | 0 | 0 | 0 | 95 |
| 270 | 0 | 0 | 0 | 95 |
| 280 | 0 | 0 | 0 | 95 |
| 290 | 0 | 0 | 0 | 95 |
| 300 | 0 | 0 | 0 | 95 |
