a
```markdown
| LiO'Bu dose (s) | Growth per cycle (Å) |
|---|---|
| 0 | 0.0 |
| 1 | 0.2 |
| 2 | 0.4 |
| 3 | 0.6 |
| 4 | 0.8 |
| 5 | 0.6 |
| 6 | 0.6 |
| 7 | 0.6 |
| 8 | 0.6 |
| 9 | 0.6 |
| 10 | 0.6 |
```
b
```markdown
| H₂O dose (ms) | Growth per cycle (Å) |
|---|---|
| 0 | 0.0 |
| 50 | 0.6 |
| 100 | 0.6 |
| 150 | 0.6 |
| 200 | 0.6 |
```
c
```markdown
| CO₂ dose (s) | Growth per cycle (Å) |
|---|---|
| 0 | 0.0 |
| 1 | 0.6 |
| 2 | 0.6 |
| 3 | 0.6 |
| 4 | 0.6 |
```
d
```markdown
| LiO'Bu dose (s) | Plasma duration (s) | Growth per cycle (Å) |
|---|---|---|
| 0 | 0 | 0.0 |
| 1 | 0 | 0.4 |
| 2 | 0 | 0.6 |
| 3 | 0 | 0.8 |
| 4 | 0 | 0.8 |
| 5 | 0 | 0.8 |
| 6 | 0 | 0.8 |
| 7 | 0 | 0.8 |
| 8 | 0 | 0.8 |
| 9 | 0 | 0.8 |
| 10 | 0 | 0.8 |
| 0 | 1 | 0.4 |
| 1 | 1 | 0.6 |
| 2 | 1 | 0.8 |
| 3 | 1 | 0.8 |
| 4 | 1 | 0.8 |
| 5 | 1 | 0.8 |
| 6 | 1 | 0.8 |
| 7 | 1 | 0.8 |
| 8 | 1 | 0.8 |
| 9 | 1 | 0.8 |
| 10 | 1 | 0.8 |
| 0 | 2 | 0.4 |
| 1 | 2 | 0.6 |
| 2 | 2 | 0.8 |
| 3 | 2 | 0.8 |
| 4 | 2 | 0.8 |
| 5 | 2 | 0.8 |
| 6 | 2 | 0.8 |
| 7 | 2 | 0.8 |
| 8 | 2 | 0.8 |
| 9 | 2 | 0.8 |
| 10 | 2 | 0.8 |
| 0 | 3 | 0.4 |
| 1 | 3 | 0.6 |
|
```
