a
```markdown
| Bias [V] | Current density [mA/cm²] |
|---|---|
|-0.5 | -40 |
|-0.4 | -40 |
|-0.3 | -40 |
|-0.2 | -40 |
|-0.1 | -40 |
|0.0 | 0 |
|0.1 | 0 |
|0.2 | 0 |
|0.3 | 0 |
|0.4 | 0 |
|0.5 | 0 |
|0.6 | 0 |
|0.7 | 0 |
|0.8 | 0 |
|0.9 | 0 |
|1.0 | 0 |
```
b
```markdown
| Bias [V] | Current density [mA/cm²] |
|---|---|
|-0.5 | -40 |
|-0.4 | -40 |
|-0.3 | -40 |
|-0.2 | -40 |
|-0.1 | -40 |
|0.0 | 0 |
|0.1 | 0 |
|0.2 | 0 |
|0.3 | 0 |
|0.4 | 0 |
|0.5 | 0 |
|0.6 | 0 |
|0.7 | 0 |
|0.8 | 0 |
|0.9 | 0 |
|1.0 | 0 |
```
