a
```markdown
| Bias [V] | TGO 0.077 | TGO 0.077 TMA | TGO 0.077 ZnS | ZGO 0.32 | ZTO 0.20 | CdS |
|---|---|---|---|---|---|---|
|-0.5 | -40 | -40 | -40 | -40 | -40 | -40 |
|-0.4 | -40 | -40 | -40 | -40 | -40 | -40 |
|-0.3 | -40 | -40 | -40 | -40 | -40 | -40 |
|-0.2 | -40 | -40 | -40 | -40 | -40 | -40 |
|-0.1 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.0 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.1 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.2 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.3 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.4 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.5 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.6 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.7 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.8 | -40 | -40 | -40 | -40 | -40 | -40 |
|0.9 | -40 | -40 | -40 | -40 | -40 | -40 |
|1.0 | -40 | -40 | -40 | -40 | -40 | -40 |
```
