| Time (s) | LiHMDS | SR start | H₂O | SR end |
|---|---|---|---|---|
| 0 | 1E-12 | 1E-12 | 1E-12 | 1E-12 |
| 5 | 1E-11 | 1E-11 | 1E-11 | 1E-11 |
| 10 | 1E-10 | 1E-10 | 1E-10 | 1E-10 |
| 15 | 1E-9 | 1E-9 | 1E-9 | 1E-9 |
| 20 | 1E-8 | 1E-8 | 1E-8 | 1E-8 |
| 25 | 1E-7 | 1E-7 | 1E-7 | 1E-7 |
| 30 | 1E-6 | 1E-6 | 1E-6 | 1E-6 |
| 35 | 1E-5 | 1E-5 | 1E-5 | 1E-5 |
| 40 | 1E-4 | 1E-4 | 1E-4 | 1E-4 |
| 45 | 1E-3 | 1E-3 | 1E-3 | 1E-3 |
| 50 | 1E-2 | 1E-2 | 1E-2 | 1E-2 |
| 55 | 1E-1 | 1E-1 | 1E-1 | 1E-1 |
| 60 | 1 | 1 | 1 | 1 |
| 65 | 10 | 10 | 10 | 10 |
| 70 | 100 | 100 | 100 | 100 |
| 75 | 1000 | 1000 | 1000 | 1000 |
| 80 | 10000 | 10000 | 10000 | 10000 |
