a
```markdown
| Wavelength (nm) | Extinction coefficient | Refractive index |
|----------------|------------------------|------------------|
| 200            | 0.15                   | 2.3              |
| 300            | 0.10                   | 2.2              |
| 400            | 0.08                   | 2.1              |
| 500            | 0.06                   | 2.0              |
| 600            | 0.05                   | 1.9              |
| 700            | 0.04                   | 1.8              |
| 800            | 0.03                   | 1.7              |
| 900            | 0.02                   | 1.6              |
```
