a
```markdown
| Mass (amu) | CH<sub>x</sub><sup>+</sup> | CO<sup>+</sup> | C<sub>2</sub>H<sub>x</sub><sup>+</sup> | CO<sub>2</sub><sup>+</sup> |
|---|---|---|---|---|
| 10 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 15 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 20 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 25 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 30 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 35 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 40 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 45 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
| 50 | ~10<sup>-11</sup> | ~10<sup>-11</sup> | ~10<sup>-12</sup> | ~10<sup>-12</sup> |
```
