a
```markdown
| Time (s) | Mass Deposited (ng/cm²) | Tin Thickness (Å) |
|----------|------------------------|--------------------|
| 0        | 0                      | 0                  |
| 20       | 50                     | 0                  |
| 40       | 70                     | 0                  |
| 60       | 80                     | 0                  |
| 80       | 90                     | 0                  |
| 100      | 95                     | 0                  |
| 120      | 170                    | 1.5                |
| 140      | 180                    | 1.5                |
| 160      | 70                     | 1.5                |
```
