a
```markdown
| 2θ | Li₃PO₄ 200°C | Li₃PO₄ 225°C | Li₃PO₄ 250°C | Li₃PO₄ 275°C | Li₃PO₄ Orthorom |
|---|---|---|---|---|---|
| 15 | 2 | 2 | 2 | 2 | 2 |
| 16 | 2 | 2 | 2 | 2 | 2 |
| 17 | 2 | 2 | 2 | 2 | 2 |
| 18 | 2 | 2 | 2 | 2 | 2 |
| 19 | 2 | 2 | 2 | 2 | 2 |
| 20 | 2 | 2 | 2 | 2 | 2 |
| 21 | 2 | 2 | 2 | 2 | 2 |
| 22 | 2 | 2 | 2 | 2 | 2 |
| 23 | 2 | 2 | 2 | 2 | 2 |
| 24 | 2 | 2 | 2 | 2 | 2 |
| 25 | 2 | 2 | 2 | 2 | 2 |
| 26 | 2 | 2 | 2 | 2 | 2 |
| 27 | 2 | 2 | 2 | 2 | 2 |
| 28 | 2 | 2 | 2 | 2 | 2 |
| 29 | 2 | 2 | 2 | 2 | 2 |
| 30 | 2 | 2 | 2 | 2 | 2 |
| 31 | 2 | 2 | 2 | 2 | 2 |
| 32 | 2 | 2 | 2 | 2 | 2 |
| 33 | 2 | 2 | 2 | 2 | 2 |
| 34 | 2 | 2 | 2 | 2 | 2 |
| 35 | 2 | 2 | 2 | 2 | 2 |
| 36 | 2 | 2 | 2 | 2 | 2 |
| 37 | 2 | 2 | 2 | 2 | 2 |
| 38 | 2 | 2 | 2 | 2 | 2 |
| 39 | 2 | 2 | 2 | 2 | 2 |
```
