| Wavelength (nm) | Sapphire | CsI film | CsI & 2000 PbI2 cyc. | CsI & 2500 PbI2 cyc. | CsI & 3000 PbI2 cyc. | CsI & 3500 PbI2 cyc. | CsI & 4000 PbI2 cyc. | PbI2 film |
|-----------------|----------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|----------|
| 200             | 80       | 80       | 70                 | 60                 | 50                 | 40                 | 30                 | 20       |
| 300             | 90       | 90       | 80                 | 70                 | 60                 | 50                 | 40                 | 30       |
| 400             | 95       | 95       | 85                 | 75                 | 65                 | 55                 | 45                 | 35       |
| 500             | 98       | 98       | 90                 | 80                 | 70                 | 60                 | 50                 | 40       |
| 600             | 99       | 99       | 95                 | 85                 | 75                 | 65                 | 55                 | 45       |
| 700             | 99       | 99       | 98                 | 88                 | 78                 | 68                 | 58                 | 48       |
| 800             | 99       | 99       | 99                 | 90                 | 80                 | 70                 | 60                 | 50       |
| 900             | 99       | 99       | 99                 | 90                 | 80                 | 70                 | 60                 | 50       |
| 1000            | 99       | 99       | 99                 | 90                 | 80                 | 70                 | 60                 | 50       |
