| m/z | Ion current (A) |
|---|---|
| 0 | 10^-12 |
| 1 | 10^-10 |
| 2 | 10^-9 |
| 3 | 10^-8 |
| 4 | 10^-7 |
| 5 | 10^-11 |
| 6 | 10^-10 |
| 7 | 10^-11 |
| 8 | 10^-10 |
| 9 | 10^-11 |
| 10 | 10^-10 |
| 11 | 10^-11 |
| 12 | 10^-10 |
| 13 | 10^-9 |
| 14 | 10^-10 |
| 15 | 10^-9 |
| 16 | 10^-10 |
| 17 | 10^-11 |
| 18 | 10^-10 |
| 19 | 10^-11 |
| 20 | 10^-10 |
| 21 | 10^-11 |
| 22 | 10^-10 |
| 23 | 10^-11 |
| 24 | 10^-10 |
| 25 | 10^-11 |
| 26 | 10^-10 |
| 27 | 10^-11 |
| 28 | 10^-10 |
| 29 | 10^-11 |
