a
```markdown
| m/z | Ion current (A) |
|---|---|
| 0 | 10^-12 |
| 1 | 10^-11 |
| 2 | 10^-11 |
| 3 | 10^-11 |
| 4 | 10^-11 |
| 5 | 10^-11 |
| 6 | 10^-11 |
| 7 | 10^-11 |
| 8 | 10^-11 |
| 9 | 10^-11 |
| 10 | 10^-11 |
| 11 | 10^-11 |
| 12 | 10^-11 |
| 13 | 10^-11 |
| 14 | 10^-11 |
| 15 | 10^-11 |
| 16 | 10^-11 |
| 17 | 10^-11 |
| 18 | 10^-11 |
| 19 | 10^-11 |
| 20 | 10^-11 |
| 21 | 10^-11 |
| 22 | 10^-11 |
| 23 | 10^-11 |
| 24 | 10^-11 |
| 25 | 10^-11 |
| 26 | 10^-11 |
| 27 | 10^-11 |
| 28 | 10^-11 |
| 29 | 10^-11 |
| 30 | 10^-11 |
```
