| Pressure (mTorr) | Deposition Temperature (°C) | Refractive Index | Impurity Content (at. %) | Wet-etch Rate (nm/min)|
|---|---|---|---|---|
| 0.0 | 200 | 1.9 | 2.5 | 0.5 |
| 0.2 | 200 | 1.8 | 3.0 | 1.0 |
| 0.4 | 200 | 1.7 | 3.5 | 1.5 |
| 0.6 | 200 | 1.6 | 4.0 | 2.0 |
| 0.8 | 200 | 1.5 | 4.5 | 2.5 |
| 1.0 | 200 | 1.4 | 5.0 | 3.0 |
| 0.0 | 400 | 2.5 | 1.0 | 0.5 |
| 0.2 | 400 | 2.0 | 1.5 | 1.0 |
| 0.4 | 400 | 1.5 | 2.0 | 1.5 |
| 0.6 | 400 | 1.0 | 2.5 | 2.0 |
| 0.8 | 400 | 0.5 | 3.0 | 2.5 |
| 1.0 | 400 | 0.0 | 3.5 | 3.0 |
