b
```markdown
| Power (W) | Ion flux (m⁻² s⁻¹) | Plasma Potential (V) |
|---|---|---|
| 0 | 0.0 × 10¹⁷ | 0 |
| 50 | 2.0 × 10¹⁷ | 10 |
| 100 | 2.0 × 10¹⁷ | 10 |
| 150 | 3.0 × 10¹⁷ | 20 |
| 200 | 3.0 × 10¹⁷ | 20 |
| 250 | 4.0 × 10¹⁷ | 30 |
| 300 | 4.0 × 10¹⁷ | 30 |
| 350 | 5.0 × 10¹⁷ | 40 |
| 400 | 5.0 × 10¹⁷ | 40 |
| 450 | 6.0 × 10¹⁷ | 50 |
| 500 | 6.0 × 10¹⁷ | 50 |
| 550 | 7.0 × 10¹⁷ | 60 |
| 600 | 7.0 × 10¹⁷ | 60 |
| 650 | 8.0 × 10¹⁷ | 70 |
| 700 | 8.0 × 10¹⁷ | 70 |
| 750 | 9.0 × 10¹⁷ | 80 |
| 800 | 9.0 × 10¹⁷ | 80 |
| 850 | 1.0 × 10¹⁸ | 90 |
| 900 | 1.0 × 10¹⁸ | 90 |
| 950 | 1.1 × 10¹⁸ | 100 |
| 1000 | 1.1 × 10¹⁸ | 100 |
```
