a
```markdown
| Raman shift (cm⁻¹) | Normalized Intensity (a.u.) |
|-------------------|----------------------------|
| 100               | 0                          |
| 200               | 0.5                        |
| 300               | 0.2                        |
| 400               | 0.1                        |
| 500               | 0.3                        |
| 600               | 0.4                        |
| 700               | 0.6                        |
| 800               | 0.8                        |
| 900               | 1.0                        |
| 1000              | 0.9                        |
```
