a
```markdown
| Temperature (°C) | Mass Loss (%) |
|-----------------|---------------|
| 0              | 100           |
| 50             | 90            |
| 100            | 80            |
| 150            | 60            |
| 200            | 40            |
| 250            | 20            |
| 300            | 10            |
| 350            | 5             |
| 400            | 3             |
| 450            | 2             |
| 500            | 1             |
| 550            | 1             |
| 600            | 1             |
```
