b
```markdown
| Distance (mm) | Atomic percentage (%) |
|---|---|
| 0 | 50 |
| 1 | 40 |
| 2 | 30 |
| 3 | 20 |
| 4 | 10 |
| 5 | 0 |
| 6 | 0 |
| 7 | 0 |
| 8 | 0 |
| 9 | 0 |
| 10 | 0 |
| 11 | 0 |
| 12 | 0 |
| 13 | 0 |
| 14 | 0 |
| 15 | 0 |
| 16 | 0 |
| 17 | 0 |
| 18 | 0 |
```
c
```markdown
| Distance (mm) | Atomic percentage (%) |
|---|---|
| 0 | 50 |
| 1 | 40 |
| 2 | 30 |
| 3 | 20 |
| 4 | 10 |
| 5 | 0 |
| 6 | 0 |
| 7 | 0 |
| 8 | 0 |
| 9 | 0 |
| 10 | 0 |
| 11 | 0 |
| 12 | 0 |
| 13 | 0 |
| 14 | 0 |
| 15 | 0 |
| 16 | 0 |
| 17 | 0 |
| 18 | 0 |
```
