a
```markdown
| Time, s | β<sub>bp</sub> = 10<sup>-4</sup> | β<sub>bp</sub> = 10<sup>-3</sup> |
|---|---|---|
| 0.0 | 0.0 | 0.0 |
| 0.1 | 0.1 | 0.1 |
| 0.2 | 0.2 | 0.2 |
| 0.3 | 0.3 | 0.3 |
| 0.4 | 0.4 | 0.4 |
| 0.5 | 0.5 | 0.5 |
| 0.6 | 0.6 | 0.6 |
| 0.7 | 0.7 | 0.7 |
| 0.8 | 0.8 | 0.8 |
| 0.9 | 0.9 | 0.9 |
| 1.0 | 1.0 | 1.0 |
| 1.1 | 1.0 | 1.0 |
| 1.2 | 1.0 | 1.0 |
| 1.3 | 1.0 | 1.0 |
| 1.4 | 1.0 | 1.0 |
| 1.5 | 1.0 | 1.0 |
| 1.6 | 1.0 | 1.0 |
| 1.7 | 1.0 | 1.0 |
| 1.8 | 1.0 | 1.0 |
| 1.9 | 1.0 | 1.0 |
| 2.0 | 1.0 | 1.0 |
| 2.1 | 1.0 | 1.0 |
| 2.2 | 1.0 | 1.0 |
| 2.3 | 1.0 | 1.0 |
| 2.4 | 1.0 | 1.0 |
| 2.5 | 1.0 | 1.0 |
| 2.6 | 1.0 | 1.0 |
| 2.7 | 1.0 | 1.0 |
| 2.8 | 1.0 | 1.0 |
| 2.9 | 1.0 | 1.0 |
| 3.0 | 1.0 | 1.0 |
```
b
```markdown
| Time, s | β<sub>bp</sub> = 10<sup>-4</sup> | β<sub>bp</sub> = 10<sup>-3</sup> |
|---|---|---|
| 1.0 | 95 | 75 |
| 1.1 | 60 | 45 |
| 1.2 | 35 | 25 |
| 1.3 | 20 | 20 |
| 1.4 | 15 | 20 |
| 1.5 | 10 | 20 |
| 1.6 | 5 | 20 |
| 1.7 | 5 | 20 |
| 1.8 | 5 | 20 |
| 1.9 | 5 | 20 |
| 2.0 | 5 | 20 |
| 2.1 | 5 | 20 |
| 2.2 | 5 | 20 |
| 2.3 | 5 | 20 |
| 2.4 | 5 | 20 |
| 2.5 | 5 | 20 |
| 2.6 | 5 | 20 |
| 2.7 | 5 | 20 |
```
