| Temperature (K) | 2 nm | 2.5 nm | 3.0 nm | 3.5 nm | 4.0 nm |
|---|---|---|---|---|---|
| 200 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 400 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 600 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 800 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 1000 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 1200 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 1400 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 1600 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 1800 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 2000 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 2200 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 2400 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| 2600 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
