| Wavenumbers (cm⁻¹) | Kubelka-Munk | Fitting | Experiment | Low coordinated sites | Pt(1 0 0) | Pt(1 1 1) |
|---|---|---|---|---|---|---|
| 2150 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2200 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2250 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2300 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2350 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2400 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2450 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2500 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2550 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2600 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2650 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2700 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2750 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2800 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2850 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2900 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 2950 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| 3000 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
