a
```markdown

```
b
```markdown
| Mobility (cm²/Vs) | Pristine | H₂ Plasma Treatment | Al₂O₃ ALD | 400°C Anneal |
|---|---|---|---|---|
| 0 | 1500 | 500 | 1500 | 2500 |
| 500 | 2000 | 1000 | 2000 | 3000 |
| 1000 | 2500 | 1500 | 2500 | 3500 |
| 1500 | 3000 | 2000 | 3000 | 4000 |
| 2000 | 3500 | 2500 | 3500 | 4500 |
| 2500 | 4000 | 3000 | 4000 | 5000 |
| 3000 | 4500 | 3500 | 4500 | 5500 |
| 3500 | 5000 | 4000 | 5000 | 6000 |
| 4000 | 5500 | 4500 | 5500 | 6500 |
| 4500 | 6000 | 5000 | 6000 | 7000 |
| 5000 | 6500 | 5500 | 6500 | 7500 |
| 5500 | 7000 | 6000 | 7000 | 8000 |
| 6000 | 7500 | 6500 | 7500 | 8500 |
| 6500 | 8000 | 7000 | 8000 | 9000 |
| 7000 | 8500 | 7500 | 8500 | 9500 |
| 7500 | 9000 | 8000 | 9000 | 10000 |
| 8000 | 9500 | 8500 | 9500 | 10500 |
| 8500 | 10000 | 9000 | 10000 | 11000 |
| 9000 | 10500 | 9500 | 10500 | 11500 |
| 9500 | 11000 | 10000 | 11000 | 12000 |
| 10000 | 11500 | 10500 | 11500 | 12500 |
| 10500 | 12000 | 11000 | 12000 | 13000 |
| 11000 | 12500 | 11500 | 12500 | 13500 |
| 11500 | 13000 | 12000 | 13000 | 14000 |
| 12000 | 13500 | 12500 | 13500 | 14500 |
| 12500 | 14000 | 13000 | 14000 | 15000 |
| 13000 | 14500 | 13500 | 14500 | 15500 |
| 13500
```
