a
```markdown
| Time (ps) | H × 0.05 | C H y | H x O | H₂ × 0.05 | Others |
|-----------|----------|-------|-------|-----------|--------|
| 0         | 100      | 0     | 0     | 0          | 0      |
| 50        | 90       | 10    | 10    | 10         | 0      |
| 100       | 80       | 20    | 20    | 20         | 0      |
| 150       | 70       | 30    | 30    | 30         | 0      |
| 200       | 60       | 40    | 40    | 40         | 0      |
```
b
```markdown
| Time (ps) | C | H | O |
|------------|---|---|---|
| 0          | 350| 300| 100|
| 50         | 250| 200| 50 |
| 100        | 150| 100| 20 |
| 150        | 50 | 50 | 10 |
| 200        | 0  | 0  | 0  |
```
c
```markdown
| Time (ps) | H₂O × 0.01 | H(acac) | acac | H₂(acac) |
|------------|------------|---------|------|-----------|
| 0          | 0          | 0       | 0    | 0         |
| 50         | 0.1        | 0.1     | 0.1  | 0.1       |
| 100        | 0.2        | 0.2     | 0.2  | 0.2       |
| 150        | 0.3        | 0.3     | 0.3  | 0.3       |
| 200        | 0.4        | 0.4     | 0.4  | 0.4       |
| 250        | 0.5        | 0.5     | 0.5  | 0.5       |
| 300        | 0.6        | 0.6     | 0.6  | 0.6       |
| 350        | 0.7        | 0.7     | 0.7  | 0.7       |
| 400        | 0.8        | 0.8     | 0.8  | 0.8       |
| 450        | 0.9        | 0.9     | 0.9  | 0.9       |
| 500        | 1          | 1       | 1    | 1         |
| 550        | 1.1        | 1.1     | 1.1  | 1.1       |
| 600        | 1.2        | 1.2     | 1.2  | 1.2       |
| 650        | 1.3        | 1.3     | 1.3  | 1.3       |
| 700        | 1.4        | 1.4     | 1.4  | 1.4       |
| 750        | 1.5        | 1.5     | 1.5  | 1.5       |
| 800        | 1.6        | 1.6     | 1.6  | 1.6       |
```
