| Layer 1 | Layer 2 |
|---------|---------|
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray    |
| Red     | Gray
