| Number of Cycles | 200 °C | 250 °C |
|---|---|---|
| 0 | 0 | 0 |
| 1 | -0.09 | -0.43 |
| 2 | -0.18 | -0.86 |
| 3 | -0.27 | -1.29 |
| 4 | -0.36 | -1.72 |
| 5 | -0.45 | -2.15 |
| 6 | -0.54 | -2.58 |
| 7 | -0.63 | -3.01 |
| 8 | -0.72 | -3.44 |
| 9 | -0.81 | -3.87 |
| 10 | -0.90 | -4.30 |
| 11 | -0.99 | -4.73 |
| 12 | -1.08 | -5.16 |
| 13 | -1.17 | -5.59 |
| 14 | -1.26 | -6.02 |
| 15 | -1.35 | -6.45 |
| 16 | -1.44 | -6.88 |
| 17 | -1.53 | -7.31 |
| 18 | -1.62 | -7.74 |
| 19 | -1.71 | -8.17 |
| 20 | -1.80 | -8.60 |
| 21 | -1.89 | -9.03 |
| 22 | -1.98 | -9.46 |
| 23 | -2.07 | -9.89 |
| 24 | -2.16 | -10.32 |
| 25 | -2.25 | -10.75 |
| 26 | -2.34 | -11.18 |
| 27 | -2.43 | -11.61 |
| 28 | -2.52 | -12.04 |
| 29 | -2.61 | -12.47 |
| 30 | -2.70 | -12.90 |
