a
```markdown
| Intensity (arb. units) | 2 Theta (degrees) |
|---|---|
| a) Initial CoO | 20 |
| a) Initial CoO | 25 |
| a) Initial CoO | 30 |
| a) Initial CoO | 35 |
| a) Initial CoO | 40 |
| a) Initial CoO | 45 |
| a) Initial CoO | 50 |
| a) Initial CoO | 55 |
| b) 2 doses of O₃ | 20 |
| b) 2 doses of O₃ | 25 |
| b) 2 doses of O₃ | 30 |
| b) 2 doses of O₃ | 35 |
| b) 2 doses of O₃ | 40 |
| b) 2 doses of O₃ | 45 |
| b) 2 doses of O₃ | 50 |
| b) 2 doses of O₃ | 55 |
| c) 10 doses of O₃ | 20 |
| c) 10 doses of O₃ | 25 |
| c) 10 doses of O₃ | 30 |
| c) 10 doses of O₃ | 35 |
| c) 10 doses of O₃ | 40 |
| c) 10 doses of O₃ | 45 |
| c) 10 doses of O₃ | 50 |
| c) 10 doses of O₃ | 55 |
| d) 410 doses of O₃ | 20 |
| d) 410 doses of O₃ | 25 |
| d) 410 doses of O₃ | 30 |
| d) 410 doses of O₃ | 35 |
| d) 410 doses of O₃ | 40 |
| d) 410 doses of O₃ | 45 |
| d) 410 doses of O₃ | 50 |
| d) 410 doses of O₃ | 55 |
```
b
```markdown
| Intensity (arb. units) | 2 Theta (degrees) |
|---|---|
| a) Initial CoO | 20 |
| a) Initial CoO | 25 |
| a) Initial CoO | 30 |
| a) Initial CoO | 35 |
| a) Initial CoO | 40 |
| a) Initial CoO | 45 |
| a) Initial CoO | 50 |
| a) Initial CoO | 55 |
| b) 2 doses of O₃ | 20 |
| b) 2 doses of O₃ | 25 |
| b) 2 doses of O₃ | 30 |
| b) 2 doses of O₃ | 35 |
| b) 2 doses of O₃ | 40 |
| b) 2 doses of O₃ | 45 |
| b) 2 doses of O₃ | 50 |
| b) 2 doses of O₃ | 55 |
| c) 10 doses of O₃ | 20 |
| c) 10 doses of O₃ | 25 |
| c) 10 doses of O₃ | 30 |
| c) 10 doses of O₃ | 35 |
| c) 10 doses of O₃ | 40 |
| c) 10 doses of O₃ | 45 |
| c) 10 doses of O₃ | 50 |
| c) 10 doses of O₃ | 55 |
| d) 410 doses of O₃ | 20 |
| d) 410 doses
```
