a
```markdown
| Number of Cycles | 128°C | 160°C | 196°C | 207°C |
|------------------|-------|-------|-------|-------|
| 0               | 140   | 140   | 140   | 140   |
| 1               | 135   | 135   | 135   | 135   |
| 2               | 130   | 130   | 130   | 130   |
| 3               | 125   | 125   | 125   | 125   |
| 4               | 120   | 120   | 120   | 120   |
| 5               | 115   | 115   | 115   | 115   |
| 6               | 110   | 110   | 110   | 110   |
| 7               | 105   | 105   | 105   | 105   |
| 8               | 100   | 100   | 100   | 100   |
| 9               | 95    | 95    | 95    | 95    |
| 10              | 90    | 90    | 90    | 90    |
| 11              | 85    | 85    | 85    | 85    |
| 12              | 80    | 80    | 80    | 80    |
| 13              | 75    | 75    | 75    | 75    |
| 14              | 70    | 70    | 70    | 70    |
| 15              | 65    | 65    | 65    | 65    |
| 16              | 60    | 60    | 60    | 60    |
| 17              | 55    | 55    | 55    | 55    |
| 18              | 50    | 50    | 50    | 50    |
| 19              | 45    | 45    | 45    | 45    |
| 20              | 40    | 40    | 40    | 40    |
```
