a
```markdown
| Temperature (K) | Pressure (Pa) | Time (s) |
|----------------|---------------|----------|
| 520           | 20            | 0        |
| 540           | 20            | 1        |
| 560           | 20            | 2        |
| 580           | 20            | 3        |
| 600           | 20            | 4        |
| 520           | 40            | 5        |
| 540           | 40            | 6        |
| 560           | 40            | 7        |
| 580           | 40            | 8        |
| 600           | 40            | 9        |
| 520           | 60            | 10       |
| 540           | 60            | 11       |
| 560           | 60            | 12       |
| 580           | 60            | 13       |
| 600           | 60            | 14       |
| 520           | 80            | 15       |
| 540           | 80            | 16       |
| 560           | 80            | 17       |
| 580           | 80            | 18       |
| 600           | 80            | 19       |
```
