a
```markdown
| Angle (deg) | Main Etch | Step 1 | Step 2 |
|---|---|---|---|
|-15 | 0.01 | 0.01 | 0.01 |
|-14 | 0.01 | 0.01 | 0.01 |
|-13 | 0.01 | 0.01 | 0.01 |
|-12 | 0.01 | 0.01 | 0.01 |
|-11 | 0.01 | 0.01 | 0.01 |
|-10 | 0.01 | 0.01 | 0.01 |
|-9 | 0.01 | 0.01 | 0.01 |
|-8 | 0.01 | 0.01 | 0.01 |
|-7 | 0.01 | 0.01 | 0.01 |
|-6 | 0.01 | 0.01 | 0.01 |
|-5 | 0.01 | 0.01 | 0.01 |
|-4 | 0.01 | 0.01 | 0.01 |
|-3 | 0.01 | 0.01 | 0.01 |
|-2 | 0.01 | 0.01 | 0.01 |
|-1 | 0.01 | 0.01 | 0.01 |
|0 | 0.01 | 0.01 | 0.01 |
|1 | 0.01 | 0.01 | 0.01 |
|2 | 0.01 | 0.01 | 0.01 |
|3 | 0.01 | 0.01 | 0.01 |
|4 | 0.01 | 0.01 | 0.01 |
|5 | 0.01 | 0.01 | 0.01 |
|6 | 0.01 | 0.01 | 0.01 |
|7 | 0.01 | 0.01 | 0.01 |
|8 | 0.01 | 0.01 | 0.01 |
|9 | 0.01 | 0.01 | 0.01 |
|10 | 0.01 | 0.01 | 0.01 |
|11 | 0.01 | 0.01 | 0.01 |
|12 | 0.01 | 0.01 | 0.01 |
|13 | 0.01 | 0.01 | 0.01 |
|14 | 0.01 | 0.01 | 0.01 |
|15 | 0.01 | 0.01 | 0.01 |
```
