a
```markdown
| Element | Symbol | Surface binding energy E₀ |
|---|---|---|
| H | H | <2 eV |
| Li | Li | 2-3 eV |
| Na | Na | 3-4 eV |
| K | K | 4-5 eV |
| Ca | Ca | 5-6 eV |
| Sc | Sc | 6-7 eV |
| Ti | Ti | 7+ eV |
| V | V | 5-6 eV |
| Cr | Cr | 6-7 eV |
| Mn | Mn | 7+ eV |
| Fe | Fe | 5-6 eV |
| Co | Co | 6-7 eV |
| Ni | Ni | 7+ eV |
| Cu | Cu | 5-6 eV |
| Zn | Zn | 6-7 eV |
| Ga | Ga | 7+ eV |
| Ge | Ge | 5-6 eV |
| As | As | 6-7 eV |
| Se | Se | 7+ eV |
| Br | Br | 5-6 eV |
| Kr | Kr | 6-7 eV |
| Rb | Rb | 7+ eV |
| Sr | Sr | 5-6 eV |
| Y | Y | 6-7 eV |
| Zr | Zr | 7+ eV |
| Nb | Nb | 5-6 eV |
| Mo | Mo | 6-7 eV |
| Tc | Tc | 7+ eV |
| Ru | Ru | 5-6 eV |
| Rh | Rh | 6-7 eV |
| Pd | Pd | 7+ eV |
| Ag | Ag | 5-6 eV |
| Cd | Cd | 6-7 eV |
| In | In | 7+ eV |
| Sn | Sn | 5-6 eV |
| Sb | Sb | 6-7 eV |
| Te | Te | 7+ eV |
| I | I | 5-6 eV |
| Xe | Xe | 6-7 eV |
| Cs | Cs | 7+ eV |
| Ba | Ba | 5-6 eV |
| La | La | 6-7 eV |
| Ce | Ce | 7+ eV |
| Pr | Pr | 5-6 eV |
| Nd | Nd | 6-7 eV |
| Pm | Pm | 7+ eV |
| Sm | Sm | 5-6 eV |
| Eu | Eu | 6-7 eV |
| Gd | Gd | 7+ eV |
| Tb | Tb | 5-6 eV |
| Dy | Dy | 6-7 eV |
| Ho | Ho | 7+ eV |
| Er | Er | 5-6 eV |
| Tm | Tm | 6-7 eV |
| Yb | Yb | 7+ eV |
| Lu | Lu | 5-6 eV |
| Hf | Hf | 6-7 eV |
| Ta | Ta | 7+ eV |
| W | W | 5-6 eV |
| Re | Re | 6-7 eV |
| Os | Os | 7+ eV |
| Ir | Ir | 5-6 eV |
| Pt | Pt | 6-7 eV |
| Au | Au | 7+ eV |
| Hg | Hg | 5-6 eV |
| Tl | Tl | 6-7 eV |
| Pb | Pb | 7+ eV |
| Bi | Bi | 5-6 eV |
| Po | Po | 6-7 eV |
| At | At | 7+ eV |
| Rn | Rn | 5-6 eV |
```
