| m/z | Intensity (mV) |
|---|---|
| 78 | 6 |
| 80 | 5 |
| 82 | 4 |
| 84 | 3 |
| 86 | 2 |
| 88 | 1 |
| 90 | 0.5 |
| 92 | 0.2 |
| 94 | 0.1 |
| 96 | 0.05 |
| 98 | 0.02 |
| 100 | 0.01 |
| 102 | 0.005 |
| 104 | 0.002 |
| 106 | 0.001 |
| 108 | 0.0005 |
| 110 | 0.0002 |
| 112 | 0.0001 |
| 114 | 0.00005 |
| 116 | 0.00002 |
| 118 | 0.00001 |
| 120 | 0.000005 |
| 122 | 0.000002 |
| 124 | 0.000001 |
| 126 | 0.0000005 |
| 128 | 0.0000002 |
| 130 | 0.0000001 |
| 132 | 0.00000005 |
| 134 | 0.00000002 |
| 136 | 0.00000001 |
