| Time (s) | Etch Depth (ML) | Roughness | Surface Coverage | Average Chlorine / Site (Cl) |
|---|---|---|---|---|
| 3.0 | -0.5 | 0.9 | 0.0 | 0.0 |
| 6.5 | -1.5 | 0.8 | 0.0 | 0.0 |
| 10.0 | -2.5 | 0.7 | 0.0 | 0.0 |
| 13.5 | -3.5 | 0.6 | 0.0 | 0.0 |
| 17.0 | -4.5 | 0.5 | 0.0 | 0.0 |
| 2.8 | 1.0 | 0.0 | 0.0 | 0.0 |
| 3.3 | 0.8 | 0.0 | 0.0 | 0.0 |
| 3.8 | 0.6 | 0.0 | 0.0 | 0.0 |
| 4.3 | 0.4 | 0.0 | 0.0 | 0.0 |
| 4.8 | 0.2 | 0.0 | 0.0 | 0.0 |
| 5.8 | 0.0 | 0.0 | 0.0 | 0.0 |
| 6.3 | -0.2 | 0.0 | 0.0 | 0.0 |
| 6.8 | -0.4 | 0.0 | 0.0 | 0.0 |
