a
```markdown
| Binding energy (eV) | Nb 3d<sup>5/2</sup> | Nb 3d<sup>3/2</sup> | Nb 3d | S<sub>1</sub> 2p<sup>1/2</sup> | S<sub>1</sub> 2p<sup>3/2</sup> | S<sub>2</sub> 2p<sup>1/2</sup> | S<sub>2</sub> 2p<sup>3/2</sup> | S<sub>3</sub> 2p<sup>1/2</sup> | S<sub>3</sub> 2p<sup>3/2</sup> | S 2p | W<sup>4+</sup> 4f<sup>7/2</sup> | W<sup>4+</sup> 4f<sup>5/2</sup> | W<sup>6+</sup> 4f<sup>7/2</sup> | W<sup>6+</sup> 4f<sup>5/2</sup> | W 5p<sup>3/2</sup> | W 4f |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 210 | 207 | 204 | 204 | 166 | 164 | 162 | 164 | 162 | 162 | 42 | 39 | 36 | 33 | 36 | 33 |
```
b
```markdown
| Raman shifts (cm<sup>-1</sup>) | E<sup>1</sup><sub>2g</sub>(Γ)+2LA | A<sub>1g</sub> | W 4f<sup>7/2</sup> | W 4f<sup>5/2</sup> | W 5p<sup>3/2</sup> | W 4f |
|---|---|---|---|---|---|---|
| 300 | 100 cyc | 50 cyc | 30 cyc | 20 cyc | 10 cyc | 0 cyc | 350 | 400 | 450 |
```
c
```markdown
| Temperature (k) | Hall mobility (cm<sup>2</sup> V<sup>-1</sup>S<sup>-1</sup>) | ρ (Ω . cm) |
|---|---|---|
| 100 | 8 | 120 |
| 100 | 4 | 90 |
| 100 | 12 | 180 |
| 100 | 8 | 120 |
| 100 | 4 | 90 |
| 100 | 12 | 180 |
| 200 | 4 | 90 |
| 200 | 8 | 120 |
| 200 | 12 | 180 |
| 200 | 4 | 90 |
| 200 | 8 | 120 |
| 200 | 12 | 180 |
| 300 | 4 | 90 |
| 300 | 8 | 120 |
| 300 | 12 | 180 |
| 300 | 4 | 90 |
| 300 | 8 | 120 |
| 300 | 12 | 180 |
```
