a
```markdown
| SPUTTER TIME | O | Ga | C | Si |
|---|---|---|---|---|
| 0 | 50 | 30 | 0 | 0 |
| 10 | 48 | 28 | 0 | 0 |
| 20 | 46 | 26 | 0 | 0 |
| 30 | 44 | 24 | 0 | 0 |
| 40 | 42 | 22 | 0 | 0 |
| 50 | 40 | 20 | 0 | 0 |
| 60 | 38 | 18 | 0 | 0 |
| 70 | 36 | 16 | 0 | 0 |
| 80 | 34 | 14 | 0 | 0 |
| 90 | 32 | 12 | 0 | 0 |
| 100 | 30 | 10 | 0 | 0 |
| 110 | 28 | 8 | 0 | 0 |
| 120 | 26 | 6 | 0 | 0 |
| 130 | 24 | 4 | 0 | 0 |
| 140 | 22 | 2 | 0 | 0 |
| 150 | 20 | 0 | 0 | 0 |
| 160 | 18 | 0 | 0 | 0 |
| 170 | 16 | 0 | 0 | 0 |
| 180 | 14 | 0 | 0 | 0 |
| 190 | 12 | 0 | 0 | 0 |
| 200 | 10 | 0 | 0 | 0 |
| 210 | 8 | 0 | 0 | 0 |
| 220 | 6 | 0 | 0 | 0 |
| 230 | 4 | 0 | 0 | 0 |
| 240 | 2 | 0 | 0 | 0 |
| 250 | 0 | 0 | 0 | 0 |
| 260 | 0 | 0 | 0 | 0 |
| 270 | 0 | 0 | 0 | 0 |
| 280 | 0 | 0 | 0 | 0 |
| 290 | 0 | 0 | 0 | 0 |
| 300 | 0 | 0 | 0 | 0 |
| 310 | 0 | 0 | 0 | 0 |
| 320 | 0 | 0 | 0 | 0 |
| 330 | 0 | 0 | 0 | 0 |
| 340 | 0 | 0 | 0 | 0 |
| 350 | 0 | 0 | 0 | 0 |
| 360 | 0 | 0 | 0 | 0 |
| 370 | 0 | 0 | 0 | 0 |
| 380 | 0 | 0 | 0 | 0 |
| 390 | 0 | 0 | 0 | 0 |
| 400 | 0 | 0 | 0 | 0 |
| 410 | 0 | 0 | 0 | 0 |
| 420 | 0 | 0 | 0 | 0 |
| 430 | 0 | 0 | 0 | 0 |
| 440 | 0 | 0 | 0 | 0 |
| 450 | 0 | 0 | 0 | 0 |
| 460 | 0 | 0 | 0 | 0 |
| 470 | 0 | 0 | 0 | 0 |
| 480 | 0 | 0 | 0 | 0 |
| 490 | 0 | 0 | 0 | 0 |
| 500 |
```
