a
```markdown
| voltage (V) | current density (mA cm⁻²) |
|---|---|
|-0.2 | -30 |
| 0 | -30 |
| 0.2 | -30 |
| 0.4 | -30 |
| 0.6 | -30 |
| 0.8 | -30 |
| 1 | -30 |
| 1.2 | -30 |
| 1.4 | -30 |
| 1.6 | -30 |
| 1.8 | -30 |
| 2 | -30 |
| 2.2 | -30 |
| 2.4 | -30 |
| 2.6 | -30 |
| 2.8 | -30 |
| 3 | -30 |
| 3.2 | -30 |
| 3.4 | -30 |
| 3.6 | -30 |
| 3.8 | -30 |
| 4 | -30 |
| 4.2 | -30 |
| 4.4 | -30 |
| 4.6 | -30 |
| 4.8 | -30 |
| 5 | -30 |
| 5.2 | -30 |
| 5.4 | -30 |
| 5.6 | -30 |
| 5.8 | -30 |
| 6 | -30 |
| 6.2 | -30 |
| 6.4 | -30 |
| 6.6 | -30 |
| 6.8 | -30 |
| 7 | -30 |
| 7.2 | -30 |
| 7.4 | -30 |
| 7.6 | -30 |
| 7.8 | -30 |
| 8 | -30 |
| 8.2 | -30 |
| 8.4 | -30 |
| 8.6 | -30 |
| 8.8 | -30 |
| 9 | -30 |
| 9.2 | -30 |
| 9.4 | -30 |
| 9.6 | -30 |
| 9.8 | -30 |
| 10 | -30 |
| 10.2 | -30 |
| 10.4 | -30 |
| 10.6 | -30 |
| 10.8 | -30 |
| 11 | -30 |
| 11.2 | -30 |
| 11.4 | -30 |
| 11.6 | -30 |
| 11.8 | -30 |
| 12 | -30 |
| 12.2 | -30 |
| 12.4 | -30 |
| 12.6 | -30 |
| 12.8 | -30 |
| 13 | -30 |
| 13.2 | -30 |
| 13.4 | -30 |
| 13.6 | -30 |
| 13.8 | -30 |
| 14 | -30 |
| 14.2 | -30 |
| 14.4 | -30 |
| 14.6 | -30 |
| 14.8 | -30 |
| 15 | -30 |
| 15.2 | -30 |
| 15.4 | -30 |
| 15.6 | -30 |
| 15.8 | -30 |
| 16 | -30 |
| 16.2 | -30 |
| 16.4 | -30 |
| 16.6 | -30 |
| 16.8 | -30 |
| 17 | -30 |
| 17.2 | -30 |
| 17.4 | -30 |
|
```
