a
```markdown
| Time | CoCp₂ | Purge | NH₃ |
| --- | --- | --- | --- |
| 0 | Red | Blue | Green |
| 1 | Red | Blue | Green |
| 2 | Red | Blue | Green |
| 3 | Red | Blue | Green |
| 4 | Red | Blue | Green |
| 5 | Red | Blue | Green |
| 6 | Red | Blue | Green |
| 7 | Red | Blue | Green |
| 8 | Red | Blue | Green |
| 9 | Red | Blue | Green |
| 10 | Red | Blue | Green |
| 11 | Red | Blue | Green |
| 12 | Red | Blue | Green |
| 13 | Red | Blue | Green |
| 14 | Red | Blue | Green |
| 15 | Red | Blue | Green |
| 16 | Red | Blue | Green |
| 17 | Red | Blue | Green |
| 18 | Red | Blue | Green |
| 19 | Red | Blue | Green |
| 20 | Red | Blue | Green |
| 21 | Red | Blue | Green |
| 22 | Red | Blue | Green |
| 23 | Red | Blue | Green |
| 24 | Red | Blue | Green |
| 25 | Red | Blue | Green |
| 26 | Red | Blue | Green |
| 27 | Red | Blue | Green |
| 28 | Red | Blue | Green |
| 29 | Red | Blue | Green |
| 30 | Red | Blue | Green |
| 31 | Red | Blue | Green |
| 32 | Red | Blue | Green |
| 33 | Red | Blue | Green |
| 34 | Red | Blue | Green |
| 35 | Red | Blue | Green |
| 36 | Red | Blue | Green |
| 37 | Red | Blue | Green |
| 38 | Red | Blue | Green |
| 39 | Red | Blue | Green |
| 40 | Red | Blue | Green |
| 41 | Red | Blue | Green |
| 42 | Red | Blue | Green |
| 43 | Red | Blue | Green |
| 44 | Red | Blue | Green |
| 45 | Red | Blue | Green |
| 46 | Red | Blue | Green |
| 47 | Red | Blue | Green |
| 48 | Red | Blue | Green |
| 49 | Red | Blue | Green |
| 50 | Red | Blue | Green |
| 51 | Red | Blue | Green |
| 52 | Red | Blue | Green |
| 53 | Red | Blue | Green |
| 54 | Red | Blue | Green |
| 55 | Red | Blue | Green |
| 56 | Red | Blue | Green |
| 57 | Red | Blue | Green |
| 58 | Red | Blue | Green |
| 59 | Red | Blue | Green |
| 60 | Red | Blue | Green |
| 61 | Red | Blue | Green |
| 62 | Red | Blue | Green |
| 63 | Red | Blue | Green |
| 64 | Red | Blue | Green |
| 65 | Red | Blue | Green |
| 66 | Red | Blue | Green |
| 67 | Red | Blue | Green |
| 68 | Red | Blue | Green |
| 69 | Red | Blue | Green |
| 70 | Red | Blue | Green |
| 71 | Red | Blue | Green |
| 72 | Red | Blue | Green |
| 73 | Red | Blue | Green |
| 74 | Red | Blue | Green |
| 75 | Red | Blue | Green |
| 76 | Red | Blue | Green |
| 77 | Red | Blue | Green |
| 78 | Red | Blue | Green |
| 79 | Red | Blue | Green |
| 80 | Red | Blue | Green |
| 81 | Red | Blue | Green |
| 8
```
