a
```markdown
| Wavelength (nm) | Refractive index, n | Extinction coefficient, k |
|-----------------|--------------------|--------------------------|
| 300             | ~2.05              | ~0.03                     |
| 400             | ~2.00              | ~0.025                    |
| 500             | ~1.95              | ~0.02                      |
| 600             | ~1.90              | ~0.015                    |
| 700             | ~1.85              | ~0.01                      |
| 800             | ~1.85              | ~0.005                    |
| 900             | ~1.85              | ~0.0025                   |
| 1000            | ~1.85              | ~0.001                    |
```
