a
```markdown
| ALD Cycle | Experimental | Without Densification | With Densification |
|------------|--------------|----------------------|--------------------|
| 0          | 0            | 40                   | 40                 |
| 1          | 40           | 40                   | 60                 |
| 2          | 60           | 40                   | 80                 |
| 3          | 70           | 40                   | 90                 |
| 4          | 80           | 40                   | 95                 |
| 5          | 90           | 40                   | 98                 |
| 6          | 95           | 40                   | 99                 |
| 7          | 98           | 40                   | 99                 |
| 8          | 99           | 40                   | 99                 |
| 9          | 99           | 40                   | 99                 |
| 10         | 100          | 40                   | 100                |
```
