a
```markdown

```
b
```markdown
| Gate voltage (V) | Drain current (A) |
|-----------------|------------------|
| -6             | 10^-11           |
| -5             | 10^-10           |
| -4             | 10^-9            |
| -3             | 10^-8            |
| -2             | 10^-7            |
| -1             | 10^-6            |
| 0              | 10^-5            |
| 1              | 10^-4            |
| 2              | 10^-3            |
| 3              | 10^-2            |
| 4              | 10^-1            |
| 5              | 10^0             |
| 6              | 10^1             |
```
