a
```markdown
| Symbol | Atomic Number | Element | Density (g/cm³) |
|--------|---------------|---------|----------------|
| Li     | 3             | Lithium | 0.98          |
| Be     | 4             | Beryllium | 1.57         |
| Na     | 11            | Sodium | 0.93          |
| Mg     | 12            | Magnesium | 1.31         |
| K      | 19            | Potassium | 0.82         |
| Ca     | 20            | Calcium | 1.00         |
| Sr     | 38            | Strontium | 0.95         |
| Rb     | 37            | Rubidium | 0.82         |
| Cs     | 55            | Cesium | 0.79         |
| Fr     | 87            | Francium | 0.7          |
| Ba     | 56            | Barium | 0.99         |
| Ra     | 88            | Radium | 0.9          |
| Lr     | 103           | Lawrencium | --           |
| Sc     | 21            | Scandium | 1.36         |
| Ti     | 22            | Titanium | 4.54         |
| V      | 23            | Vanadium | 6.11         |
| Cr     | 24            | Chromium | 7.15         |
| Mn     | 25            | Manganese | 7.47         |
| Fe     | 26            | Iron | 7.87         |
| Co     | 27            | Cobalt | 8.90         |
| Ni     | 28            | Nickel | 8.91         |
| Cu     | 29            | Copper | 8.96         |
| Zn     | 30            | Zinc | 7.14         |
| Ga     | 31            | Gallium | 5.90         |
| Ge     | 32            | Germanium | 5.32         |
| As     | 33            | Arsenic | 5.74         |
| Se     | 34            | Selenium | 4.81         |
| Br     | 35            | Bromine | 3.12         |
| Kr     | 36            | Krypton | 3.77         |
| Rn     | 86            | Radon | 9.00         |
| Y      | 39            | Yttrium | 4.47         |
| Zr     | 40            | Zirconium | 6.51         |
| Nb     | 41            | Niobium | 8.57         |
| Mo     | 42            | Molybdenum | 10.25         |
| Tc     | 43            | Technetium | 10.28         |
| Ru     | 44            | Ruthenium | 12.41         |
| Rh     | 45            | Rhodium | 12.42         |
| Pd     | 46            | Palladium | 12.02         |
| Ag     | 47            | Silver | 10.50         |
| Cd     | 48            | Cadmium | 11.34         |
| In     | 49            | Indium | 7.31         |
| Sn     | 50            | Tin | 7.31         |
| Sb     | 51            | Antimony | 6.69         |
| Te     | 52            | Tellurium | 6.23         |
| I      | 53            | Iodine | 5.34         |
| Xe     | 54            | Xenon | 5.89         |
| Cs     | 79            | Cesium | 1.73         |
| Ba     | 82            | Barium | 1.53         |
```
