a
```markdown
| ALD cycles | ZnO thickness (nm) |
|---|---|
| 0 | 0 |
| 10 | 0.5 |
| 20 | 1 |
| 30 | 1.5 |
| 40 | 2 |
| 50 | 2.5 |
| 60 | 3 |
| 70 | 3.5 |
| 80 | 4 |
| 90 | 4.5 |
| 100 | 5 |
| 110 | 5.5 |
| 120 | 6 |
| 130 | 6.5 |
| 140 | 7 |
| 150 | 7.5 |
| 160 | 8 |
| 170 | 8.5 |
| 180 | 9 |
| 190 | 9.5 |
| 200 | 10 |
| 210 | 10.5 |
| 220 | 11 |
| 230 | 11.5 |
| 240 | 12 |
| 250 | 12.5 |
| 260 | 13 |
| 270 | 13.5 |
| 280 | 14 |
| 290 | 14.5 |
| 300 | 15 |
```
b
```markdown
| ALD cycles | ZnO thickness (nm) |
|---|---|
| 0 | 0 |
| 10 | 0 |
| 20 | 0 |
| 30 | 0 |
| 40 | 0 |
| 50 | 0 |
| 60 | 0 |
| 70 | 0 |
| 80 | 0 |
| 90 | 0 |
| 100 | 0 |
| 110 | 0 |
| 120 | 0 |
| 130 | 0 |
| 140 | 0 |
| 150 | 0 |
| 160 | 0 |
| 170 | 0 |
| 180 | 0 |
| 190 | 0 |
| 200 | 0 |
| 210 | 0 |
| 220 | 0 |
| 230 | 0 |
| 240 | 0 |
| 250 | 0 |
| 260 | 0 |
| 270 | 0 |
| 280 | 0 |
| 290 | 0 |
| 300 | 0 |
```
