a
```markdown
| Year | Event | Reference |
|------|-------|-----------|
| 1988 | Diamond | [31] |
| 1989 | Directional III-V (GaAs) | [32] |
| 1990 | Directional Si with F | [33] |
| 1991 | Electrochemical (e.g., CdTe) | [105] |
| 1992 | Isotropic III-Vs | [34] |
| 1993 | Isotropic SiO2 with Salts | [109] |
| 1994 | Computational Modeling | - |
| 1995 | Neutral Beams | [83] |
| 2000 | Concept of Directional SiO2 with Deposition | [102] |
| 2001 | First ALE Workshop | - |
| 2007 | Directional High-k Dielectrics | [51] |
| 2008 | Graphene Using Zn Deposition | [123] |
| 2011 | Si Plasma Assisted | [6] |
| 2013 | SiO2 with Deposition | [90] |
```
