a
```markdown
| Time (s) | Progression of half-cycle (%) |
|---|---|
| 0.0 | 0 |
| 0.1 | 10 |
| 0.2 | 20 |
| 0.3 | 30 |
| 0.4 | 40 |
| 0.5 | 50 |
| 0.6 | 60 |
| 0.7 | 70 |
| 0.8 | 80 |
| 0.9 | 90 |
| 1.0 | 100 |
| 1.1 | 100 |
| 1.2 | 100 |
| 1.3 | 100 |
| 1.4 | 100 |
| 1.5 | 100 |
| 1.6 | 100 |
| 1.7 | 100 |
| 1.8 | 100 |
| 1.9 | 100 |
| 2.0 | 100 |
| 2.1 | 100 |
| 2.2 | 100 |
```
b
```markdown
| Time (s) | Progression of half-cycle (%) |
|---|---|
| 0.0 | 0 |
| 0.1 | 10 |
| 0.2 | 20 |
| 0.3 | 30 |
| 0.4 | 40 |
| 0.5 | 50 |
| 0.6 | 60 |
| 0.7 | 70 |
| 0.8 | 80 |
| 0.9 | 90 |
| 1.0 | 100 |
| 1.1 | 100 |
| 1.2 | 100 |
| 1.3 | 100 |
| 1.4 | 100 |
| 1.5 | 100 |
| 1.6 | 100 |
| 1.7 | 100 |
| 1.8 | 100 |
| 1.9 | 100 |
| 2.0 | 100 |
| 2.1 | 100 |
| 2.2 | 100 |
```
